team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
England,England,17,27.0,65.5,2,22,180,2.0,4,3,7,3,1,1,1,0,2.0,1.5,3.5,1.5,3.0,17,28.0,34.5,2,22,180,2.0,2,2,4,2,0,0,1,0,1.0,1.0,2.0,1.0,2.0,41,14,34.1,20.5,7.0,0.07,0.21,12,6,50.0,6.0,3.0,0.17,0.33,90,100,83,12,10,17,19,2.0,4,2,2,1.0,90,100,83,14,9,18,21,0.5,2,4,-2,-1.0,0,24,36,2,43,8,14,,,0,0,36,23,3,18,15,24,,,0,2,2,180,2,1.0,5,3,60.0,1,1,0,1,50.0,0,0,0,0,,2,2,180,4,2.0,14,10,71.4,0,1,1,1,50.0,1,1,0,0,0.0
France,France,21,27.1,55.7,3,33,270,3.0,10,9,19,10,0,0,1,0,3.33,3.0,6.33,3.33,6.33,21,27.2,44.3,3,33,270,3.0,2,2,4,2,0,1,2,0,0.67,0.67,1.33,0.67,1.33,48,22,45.8,16.0,7.33,0.21,0.45,20,6,30.0,6.67,2.0,0.1,0.33,90,100,85,21,12,13,33,3.0,10,2,8,2.67,90,100,85,18,15,24,30,0.0,2,10,-8,-2.67,0,24,20,4,32,23,36,,,0,0,22,23,4,27,32,30,,,0,3,3,270,2,0.67,6,4,66.7,3,0,0,1,33.3,1,0,1,0,100.0,3,3,270,10,3.33,22,12,54.5,0,0,3,0,0.0,0,0,0,0,
Germany,Germany,22,28.4,61.7,3,33,270,3.0,10,9,19,9,1,1,1,0,3.33,3.0,6.33,3.0,6.0,22,27.1,38.3,3,33,270,3.0,4,2,6,4,0,0,3,0,1.33,0.67,2.0,1.33,2.0,53,22,41.5,17.67,7.33,0.17,0.41,24,7,29.2,8.0,2.33,0.17,0.57,90,100,78,18,15,26,28,2.0,10,4,6,2.0,90,100,78,20,13,18,32,1.0,4,10,-6,-2.0,0,33,30,0,49,21,43,,,0,0,33,33,2,28,41,34,,,0,3,3,270,4,1.33,7,3,42.9,2,0,1,0,0.0,0,0,0,0,,3,3,270,10,3.33,21,11,52.4,1,0,2,0,0.0,1,1,0,0,0.0
Ghana,Ghana,20,27.2,29.5,2,22,180,2.0,1,0,1,1,0,0,2,0,0.5,0.0,0.5,0.5,0.5,20,28.1,70.5,2,22,180,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,10,3,30.0,5.0,1.5,0.1,0.33,30,7,23.3,15.0,3.5,0.0,0.0,90,100,82,14,9,20,20,2.0,1,0,1,0.5,90,100,82,13,9,19,21,0.5,0,1,-1,-0.5,0,33,24,6,21,16,26,,,0,0,25,33,3,51,6,18,,,0,2,2,180,0,0.0,7,7,100.0,1,1,0,2,100.0,0,0,0,0,,2,2,180,1,0.5,3,2,66.7,0,1,1,1,50.0,0,0,0,0,
Haiti,Haiti,18,29.0,42.7,3,33,270,3.0,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,18,28.6,57.3,3,33,270,3.0,8,5,13,8,0,0,4,0,2.67,1.67,4.33,2.67,4.33,31,7,22.6,10.33,2.33,0.03,0.14,39,18,46.2,13.0,6.0,0.21,0.44,90,100,82,20,13,21,32,0.0,2,8,-6,-2.0,90,100,82,18,15,18,29,3.0,8,2,6,2.0,0,55,44,7,37,29,28,,,0,0,44,53,14,45,23,26,,,1,3,3,270,8,2.67,19,11,57.9,0,0,3,0,0.0,0,0,0,0,,3,3,270,2,0.67,8,6,75.0,3,0,0,2,66.7,0,0,0,0,
IR Iran,Iran,20,32.1,39.0,3,33,270,3.0,3,1,4,3,0,1,6,0,1.0,0.33,1.33,1.0,1.33,20,29.7,61.0,3,33,270,3.0,3,3,6,3,0,0,4,1,1.0,1.0,2.0,1.0,2.0,37,11,29.7,12.33,3.67,0.08,0.27,52,18,34.6,17.33,6.0,0.06,0.17,90,100,81,21,12,25,33,1.0,3,3,0,0.0,90,100,81,17,15,27,25,1.0,3,3,0,0.0,0,35,23,9,37,32,36,,,0,0,26,33,3,59,23,27,,,0,3,3,270,3,1.0,18,15,83.3,0,3,0,1,33.3,0,0,0,0,,3,3,270,3,1.0,9,6,66.7,0,3,0,1,33.3,1,0,1,0,100.0
Iraq,Iraq,25,26.8,38.3,3,33,270,3.0,1,1,2,1,0,0,4,1,0.33,0.33,0.67,0.33,0.67,25,28.1,61.7,3,33,270,3.0,11,10,21,11,0,0,2,0,3.67,3.33,7.0,3.67,7.0,21,2,9.5,7.0,0.67,0.05,0.5,59,22,37.3,19.67,7.33,0.19,0.5,90,100,73,17,15,33,30,0.0,1,12,-11,-3.67,90,100,73,18,15,19,29,3.0,12,1,11,3.67,0,27,31,1,28,23,35,,,1,0,31,25,2,56,10,28,,,0,3,3,270,12,4.0,23,11,47.8,0,0,3,0,0.0,0,0,0,0,,3,3,270,1,0.33,2,1,50.0,3,0,0,2,66.7,0,0,0,0,
Japan,Japan,23,27.9,51.3,3,33,270,3.0,7,7,14,7,0,0,1,0,2.33,2.33,4.67,2.33,4.67,23,27.2,48.7,3,33,270,3.0,3,3,6,3,0,0,5,0,1.0,1.0,2.0,1.0,2.0,29,11,37.9,9.67,3.67,0.24,0.64,23,11,47.8,7.67,3.67,0.13,0.27,90,100,82,18,15,19,27,1.67,7,3,4,1.33,90,100,82,18,15,19,30,0.67,3,7,-4,-1.33,0,42,26,4,47,14,28,,,0,0,26,40,4,47,26,24,,,0,3,3,270,3,1.0,11,8,72.7,1,2,0,1,33.3,0,0,0,0,,3,3,270,7,2.33,11,4,36.4,0,2,1,0,0.0,0,0,0,0,
Jordan,Jordan,19,28.8,32.5,2,22,180,2.0,2,2,4,2,0,0,1,0,1.0,1.0,2.0,1.0,2.0,19,28.4,67.5,2,22,180,2.0,4,2,6,3,1,1,2,0,2.0,1.0,3.0,1.5,2.5,19,8,42.1,9.5,4.0,0.11,0.25,28,12,42.9,14.0,6.0,0.11,0.25,90,100,87,12,10,7,20,0.0,2,5,-3,-1.5,90,100,87,12,10,27,19,3.0,5,2,3,1.5,0,18,14,2,20,14,23,,,1,0,18,17,3,38,25,26,,,0,2,2,180,5,2.5,12,7,58.3,0,0,2,0,0.0,1,1,0,0,0.0,2,2,180,2,1.0,8,6,75.0,2,0,0,0,0.0,0,0,0,0,
Korea Republic,Korea Republic,20,28.6,63.0,3,33,270,3.0,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33,20,27.7,37.0,3,33,270,3.0,3,2,5,3,0,0,1,0,1.0,0.67,1.67,1.0,1.67,32,11,34.4,10.67,3.67,0.06,0.18,28,12,42.9,9.33,4.0,0.11,0.25,90,100,78,18,15,26,30,1.0,2,3,-1,-0.33,90,100,78,21,12,18,30,2.0,3,2,1,0.33,0,25,31,8,54,20,23,,,0,0,32,25,8,28,29,20,,,0,3,3,270,3,1.0,12,9,75.0,1,0,2,0,0.0,0,0,0,0,,3,3,270,2,0.67,10,8,80.0,2,0,1,2,66.7,0,0,0,0,
Mexico,Mexico,25,27.9,50.3,3,33,270,3.0,6,5,11,6,0,0,2,1,2.0,1.67,3.67,2.0,3.67,25,28.3,49.7,3,33,270,3.0,0,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,35,13,37.1,11.67,4.33,0.17,0.46,25,5,20.0,8.33,1.67,0.0,0.0,90,100,82,17,15,17,29,3.0,6,0,6,2.0,90,100,82,19,14,22,30,0.0,0,6,-6,-2.0,0,34,27,4,30,22,21,,,0,0,27,31,8,43,15,25,,,0,3,3,270,0,0.0,5,5,100.0,3,0,0,3,100.0,0,0,0,0,,3,3,270,6,2.0,13,7,53.8,0,0,3,0,0.0,0,0,0,0,
Morocco,Morocco,20,26.3,59.0,3,33,270,3.0,6,5,11,6,0,0,1,0,2.0,1.67,3.67,2.0,3.67,20,29.5,41.0,3,33,270,3.0,2,2,4,2,0,0,6,0,0.67,0.67,1.33,0.67,1.33,48,16,33.3,16.0,5.33,0.13,0.38,27,7,25.9,9.0,2.33,0.07,0.29,90,100,85,19,14,13,31,2.33,6,3,3,1.0,90,100,85,18,15,21,29,0.33,3,6,-3,-1.0,0,32,44,6,47,16,32,,,1,0,45,31,1,32,28,35,,,0,3,3,270,3,1.0,8,5,62.5,2,1,0,1,33.3,0,0,0,0,,3,3,270,6,2.0,17,11,64.7,0,1,2,0,0.0,0,0,0,0,
Netherlands,Netherlands,19,27.6,61.0,3,33,270,3.0,9,9,18,9,0,0,3,0,3.0,3.0,6.0,3.0,6.0,19,28.0,39.0,3,33,270,3.0,4,4,8,4,0,0,3,0,1.33,1.33,2.67,1.33,2.67,40,20,50.0,13.33,6.67,0.23,0.45,36,15,41.7,12.0,5.0,0.11,0.27,90,100,81,18,15,19,29,2.33,10,4,6,2.0,90,100,81,18,15,19,28,0.33,4,10,-6,-2.0,0,26,28,5,64,25,18,,,0,0,30,25,5,57,18,28,,,1,3,3,270,4,1.33,15,11,73.3,2,1,0,0,0.0,0,0,0,0,,3,3,270,10,3.33,20,10,50.0,0,1,2,0,0.0,0,0,0,0,
New Zealand,New Zealand,17,28.5,47.0,3,33,270,3.0,4,3,7,4,0,0,4,0,1.33,1.0,2.33,1.33,2.33,17,30.4,53.0,3,33,270,3.0,10,7,17,10,0,0,2,0,3.33,2.33,5.67,3.33,5.67,31,15,48.4,10.33,5.0,0.13,0.27,71,21,29.6,23.67,7.0,0.14,0.48,90,100,81,18,15,19,29,0.33,4,10,-6,-2.0,90,100,81,19,15,20,28,2.33,10,4,6,2.0,0,32,24,4,44,24,21,,,0,0,25,31,3,57,28,31,,,0,3,3,270,10,3.33,21,11,52.4,0,1,2,0,0.0,0,0,0,0,,3,3,270,4,1.33,15,11,73.3,2,1,0,0,0.0,0,0,0,0,
Norway,Norway,25,27.3,48.7,3,33,270,3.0,7,5,12,7,0,1,1,0,2.33,1.67,4.0,2.33,4.0,25,27.5,51.3,3,33,270,3.0,7,7,14,7,0,0,2,0,2.33,2.33,4.67,2.33,4.67,35,16,45.7,11.67,5.33,0.2,0.44,45,14,31.1,15.0,4.67,0.16,0.5,90,100,79,18,15,25,30,2.0,8,7,1,0.33,90,100,79,18,15,22,30,1.0,7,8,-1,-0.33,0,35,25,1,36,24,33,,,0,0,28,34,7,45,26,33,,,1,3,3,270,7,2.33,14,7,50.0,2,0,1,0,0.0,0,0,0,0,,3,3,270,8,2.67,15,7,46.7,1,0,2,0,0.0,1,0,1,0,100.0
Panama,Panama,17,29.3,52.0,2,22,180,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,17,28.3,48.0,2,22,180,2.0,2,1,3,2,0,0,2,0,1.0,0.5,1.5,1.0,1.5,19,5,26.3,9.5,2.5,0.0,0.0,14,4,28.6,7.0,2.0,0.14,0.5,90,100,86,14,8,12,22,0.0,0,2,-2,-1.0,90,100,86,12,10,27,19,3.0,2,0,2,1.0,0,30,21,2,50,9,16,,,0,0,21,29,6,33,13,15,,,0,2,2,180,2,1.0,5,3,60.0,0,0,2,0,0.0,0,0,0,0,,2,2,180,0,0.0,5,5,100.0,2,0,0,2,100.0,0,0,0,0,
Paraguay,Paraguay,21,28.1,33.7,3,33,270,3.0,2,2,4,2,0,0,7,1,0.67,0.67,1.33,0.67,1.33,21,26.6,66.3,3,33,270,3.0,3,3,6,3,0,0,4,0,1.0,1.0,2.0,1.0,2.0,23,5,21.7,7.67,1.67,0.09,0.4,60,16,26.7,20.0,5.33,0.05,0.19,90,100,80,17,15,18,29,1.33,2,4,-2,-0.67,90,100,80,21,12,23,31,1.33,4,2,2,0.67,0,41,32,4,18,26,47,,,1,0,33,40,4,72,24,30,,,0,3,3,270,4,1.33,17,13,76.5,1,1,1,2,66.7,0,0,0,0,,3,3,270,2,0.67,5,3,60.0,1,1,1,1,33.3,0,0,0,0,
